"INTERNATIONAL LABOUR ORGANIZATION Geneva"
"LABORSTA Labour Statistics Database"
"Copyright International Labour Organization 1998-2014"
""
"Selection:","Years: 1999-2008"
"","Country(ies): AD AE AF AG AI AL AM AN AO AR AS AT AU AW AZ BA BB BD BE BF BG BH BI BJ BM BN BO BR BS BT BW BY BZ C1 CA CD CF CG CH CI CK CL CM CN CO CR CS CU CV CY CZ D1 D2 D3 DE DJ DK DM DO DZ E1 EC EE EG EH ER ES ET FI FJ FK FO FR GA GB GD GE GF GG GH GI GL GM GN GP GQ GR GT GU GW GY HK HN HR HT HU ID IE IL IM IN IQ IR IS IT JE JG JM JO JP KE KG KH KI KM KN KP KR KS KW KY KZ LA LB LC LI LK LR LS LT LU LV LY M1 M2 M3 MA MC MD ME MG MH MK ML MM MN MO MP MQ MR MS MT MU MV MW MX MY MZ NA NC NE NF NG NI NL NO NP NR NU NZ OM PA PE PF PG PH PK PL PM PR PS PT PW PY QA RE RO RS RU RW SA SB SC SD SE SG SH SI SK SL SM SN SO SR ST SU SV SY SZ T1 T2 TC TD TG TH TJ TK TL TM TN TO TR TT TV TW TZ UA UG US UY UZ VC VE VG VI VN VU WF WS Y1 Y2 Y3 YE ZA ZM ZW"
"","Group of topics: Main statistics (annual) "
"","Table: 2B Total employment, by economic activity (Thousands)"
"","Extracted on 12/05/2014"


COUNTRY,CODE COUNTRY,SOURCE,CODE SOURCE,SOURCE_ID,SUBJECT,CODE SUBJECT,TYPE OF DATA,CODE TYPE OF DATA,WORKER COVERAGE,CODE WORKER COVERAGE,SEX,CODE SEX,TABLE,CODE TABLE,CLASSIFICATION,CODE CLASSIFICATION,SUB-CLASSIFICATION,CODE SUB-CLASSIFICATION,D1999,D2000,D2001,D2002,D2003,D2004,D2005,D2006,D2007,D2008,NOTES,
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",1065,1068,1063,920,926,931,932.1,935,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A¬B","00A",768,767,767,531,538,545,545,542,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",16,9,8,7,6,6,6,5,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",53,34,32,47,46,56,56,58,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",13,15,16,16,15,13,12,10,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",11,13,13,56,57,52,52,53,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",29,49,46,67,68,64,64,68,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",14,19,9,16,16,17,15,16,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",32,26,24,32,32,20,19,19,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J¬L,O-Q","10G",55,66,71,71,72,81,90,90,,,"  ",
